"metric" "x" "y"
"me" 1.000969090168 1.00007928826233
"me" 1.00087915089544 0.999169726275496
"me" 1.00019892101488 0.996846207814415
"me" 0.997635175306325 0.99172827527001
"me" 0.991600592569181 0.982026465810155
"me" 0.981154253205374 0.966203180571047
"me" 0.966344761864052 0.943902863850182
"me" 0.947745829060743 0.916417207488115
"me" 0.926138743860903 0.886134016609486
"me" 0.902236894254773 0.855312453013027
"me" 0.876709104886405 0.825164444108693
"me" 0.850198871731591 0.795840959535873
"me" 0.823041296648409 0.767031948941825
"me" 0.7954040383135 0.738503270004007
"me" 0.767740542446966 0.710237935588842
"me" 0.740391249974494 0.68232456447585
"me" 0.713553003878759 0.6548313920088
"me" 0.687185866981568 0.627726893454311
"me" 0.66114107591159 0.600829045260526
"me" 0.635257261551136 0.573871981493451
"me" 0.609536375734494 0.546761110307223
"me" 0.584095867885875 0.51978250039325
"me" 0.558962732582789 0.493420839445073
"me" 0.533937286356786 0.467906268477922
"me" 0.509113526319833 0.443024236911464
"me" 0.484467324742271 0.418377943395217
"me" 0.459813489172766 0.393731206995718
"me" 0.434937436486284 0.369100421688072
"me" 0.409887590565972 0.344666755423163
"me" 0.384815281708753 0.320680990824205
"me" 0.359478187000064 0.297359537043583
"me" 0.333646044043186 0.274727621534391
"me" 0.307237416608519 0.252499132205709
"me" 0.28039947513915 0.230169091332021
"me" 0.253543495353892 0.207370559265007
"me" 0.226605452467443 0.184216581296612
"me" 0.199549892150946 0.161234506991475
"me" 0.172701085781419 0.138949141064731
"me" 0.146367239281679 0.11761218204271
"me" 0.120691735306643 0.0973218888359304
"me" 0.0958271176996115 0.0782572902088405
"me" 0.0724655221600601 0.0607205397378152
"me" 0.0516408798909676 0.0450389138549003
"me" 0.0338326146013374 0.0315202214179703
"me" 0.019535695498177 0.0204604376284324
"me" 0.0092714614985389 0.0120649594681252
"me" 0.0032582190986145 0.00628742325905171
"me" 0.000725382760965242 0.0027538902229407
"me" 8.17537590402874e-05 0.000866202286252046
"me" 2.48828152538813e-07 8.5353848536419e-06
"meanfit" 1.0009505957189 0.995864140797463
"meanfit" 1.00077719866953 0.995864140797463
"meanfit" 0.999726636794605 0.995864140797463
"meanfit" 0.996234664192125 0.995864140797463
"meanfit" 0.988835629106936 0.995864140797463
"meanfit" 0.977058681505961 0.995864140797463
"meanfit" 0.961230334628319 0.995864140797463
"meanfit" 0.942030264676255 0.995864140797463
"meanfit" 0.92024421697152 0.995864140797463
"meanfit" 0.896537690879768 0.995864140797463
"meanfit" 0.871421763586923 0.995864140797463
"meanfit" 0.845260843236418 0.995864140797462
"meanfit" 0.818507965938293 0.995864140797462
"meanfit" 0.791455333474655 0.995864140797462
"meanfit" 0.764217519796854 0.995864140797462
"meanfit" 0.737111874083068 0.995864140797462
"meanfit" 0.710385509790543 0.995864140797462
"meanfit" 0.684068506847249 0.995864140797462
"meanfit" 0.658127159286486 0.995864140797462
"meanfit" 0.632575772356688 0.995864140797462
"meanfit" 0.607514185163398 0.995864140797462
"meanfit" 0.583185850290612 0.995864140797462
"meanfit" 0.559257148904953 0.995864140797462
"meanfit" 0.535388338747696 0.995864140797462
"meanfit" 0.511466887232335 0.995864140797462
"meanfit" 0.487455601155214 0.995864140797462
"meanfit" 0.463327038044544 0.995864140797462
"meanfit" 0.439228252791296 0.995864140566749
"meanfit" 0.415068730002929 0.995842034872268
"meanfit" 0.390593055513108 0.995268199546521
"meanfit" 0.365662971299934 0.994742104827606
"meanfit" 0.340293936143966 0.994159643641644
"meanfit" 0.314573979898279 0.993417947157713
"meanfit" 0.288419329118347 0.992618725396351
"meanfit" 0.261972659035849 0.990942627766986
"meanfit" 0.235434294428398 0.988917122777029
"meanfit" 0.208839903233292 0.985979752062526
"meanfit" 0.182116740042858 0.982820573495766
"meanfit" 0.15549202403699 0.979182003067286
"meanfit" 0.129279849213547 0.972204630497295
"meanfit" 0.1038383185896 0.96300162493734
"meanfit" 0.0797668508987353 0.951529979763763
"meanfit" 0.0577409191397188 0.933752420207257
"meanfit" 0.0384893392925209 0.909739074066418
"meanfit" 0.0227765255052972 0.866740726233475
"meanfit" 0.0112524826259827 0.79983306713916
"meanfit" 0.00427805517966886 0.692061463421347
"meanfit" 0.00111468670759795 0.517765321509994
"meanfit" 0.000164378966840028 0.196796371502744
"meanfit" 6.62917197774852e-07 0.000552720994996102
"fst" 1.00093542673365 0.982655675253205
"fst" 1.00061423259486 0.982655675253205
"fst" 0.998940960395623 0.982655675253205
"fst" 0.994190234637631 0.982655675253205
"fst" 0.985048703611184 0.982655675253205
"fst" 0.971141410692772 0.982655675253205
"fst" 0.953061324199103 0.982655675253205
"fst" 0.931826686817076 0.982655675253205
"fst" 0.908303070877258 0.982655675253205
"fst" 0.883152606355442 0.982655675253205
"fst" 0.857084294405918 0.982655675253205
"fst" 0.830447913975939 0.982655675253205
"fst" 0.803684446332207 0.982655675253205
"fst" 0.777149741270806 0.982655675253205
"fst" 0.750682427826325 0.982655675253205
"fst" 0.72436309743424 0.982655675253205
"fst" 0.698505319773398 0.982655675253205
"fst" 0.673073082640592 0.982655675253205
"fst" 0.648089543138296 0.982655675253205
"fst" 0.623653587415634 0.982655675253205
"fst" 0.599961644989498 0.982655675253205
"fst" 0.5769594030798 0.982655675253205
"fst" 0.554304904883364 0.982655675253205
"fst" 0.531797665178838 0.982655675253205
"fst" 0.509258426678492 0.982655675253205
"fst" 0.486773955970248 0.982655675253205
"fst" 0.464456294727342 0.982655675253205
"fst" 0.442077943056854 0.982655675253205
