"metric" "x" "y"
"me" 1.000969090168 1.00047951084592
"me" 1.00087915089544 0.999645018829259
"me" 1.00019892101488 0.997586016870505
"me" 0.997635175306325 0.993317511543287
"me" 0.991600592569181 0.985730899345278
"me" 0.981154253205374 0.973960954511708
"me" 0.966344761864052 0.957781369592357
"me" 0.947745829060743 0.937775244235487
"me" 0.926138743860903 0.915071601941445
"me" 0.902236894254773 0.890777770127731
"me" 0.876709104886405 0.865548337358598
"me" 0.850198871731591 0.839550466573628
"me" 0.823041296648409 0.812721828264076
"me" 0.7954040383135 0.785065555793321
"me" 0.767740542446966 0.756782255931036
"me" 0.740391249974494 0.728193656692082
"me" 0.713553003878759 0.699580395946771
"me" 0.687185866981568 0.671080952676629
"me" 0.66114107591159 0.64270590433194
"me" 0.635257261551136 0.614443638512226
"me" 0.609536375734494 0.58638159967212
"me" 0.584095867885875 0.558720430657751
"me" 0.558962732582789 0.531599846348192
"me" 0.533937286356786 0.50489881702523
"me" 0.509113526319833 0.47832622488309
"me" 0.484467324742271 0.451786845531116
"me" 0.459813489172766 0.425564081469238
"me" 0.434937436486284 0.400020025607952
"me" 0.409887590565972 0.375124739172844
"me" 0.384815281708753 0.35037135444691
"me" 0.359478187000064 0.325194377912353
"me" 0.333646044043186 0.299430885461223
"me" 0.307237416608519 0.273346558214188
"me" 0.28039947513915 0.247288735476387
"me" 0.253543495353892 0.221397836147734
"me" 0.226605452467443 0.195623476196225
"me" 0.199549892150946 0.169938117562801
"me" 0.172701085781419 0.144528762490948
"me" 0.146367239281679 0.119818051396509
"me" 0.120691735306643 0.0963144493146797
"me" 0.0958271176996115 0.0744720584574012
"me" 0.0724655221600601 0.0547436655652109
"me" 0.0516408798909676 0.0377080088961949
"me" 0.0338326146013374 0.0239713378076011
"me" 0.019535695498177 0.0138474997503081
"me" 0.0092714614985389 0.00713883180680223
"me" 0.0032582190986145 0.00320244601488298
"me" 0.000725382760965242 0.00119361367339046
"me" 8.17537590402874e-05 0.000319069427284146
"me" 2.48828152538813e-07 2.71678156845682e-06
"meanfit" 1.0009505957189 1.00087718658224
"meanfit" 1.00077719866953 1.00079555744382
"meanfit" 0.999726636794605 1.00049038036045
"meanfit" 0.996234664192125 0.999592557277635
"meanfit" 0.988835629106936 0.997474708346004
"meanfit" 0.977058681505961 0.993387578139977
"meanfit" 0.961230334628319 0.986793275285264
"meanfit" 0.942030264676255 0.977664546691466
"meanfit" 0.92024421697152 0.966438215490954
"meanfit" 0.896537690879768 0.953618027420792
"meanfit" 0.871421763586923 0.939408270792454
"meanfit" 0.845260843236418 0.923672142282496
"meanfit" 0.818507965938293 0.906085375025976
"meanfit" 0.791455333474655 0.886296694596539
"meanfit" 0.764217519796854 0.864140231729465
"meanfit" 0.737111874083068 0.83981041005161
"meanfit" 0.710385509790543 0.813763695604696
"meanfit" 0.684068506847249 0.786450769658025
"meanfit" 0.658127159286486 0.758145047314506
"meanfit" 0.632575772356688 0.728902090413
"meanfit" 0.607514185163398 0.698662948649656
"meanfit" 0.583185850290612 0.667550332770325
"meanfit" 0.559257148904953 0.636100299636831
"meanfit" 0.535388338747696 0.604997343359742
"meanfit" 0.511466887232335 0.574471938154464
"meanfit" 0.487455601155214 0.544155595726644
"meanfit" 0.463327038044544 0.513614035075666
"meanfit" 0.439228252791296 0.482803914236993
"meanfit" 0.415068730002929 0.451936472136919
"meanfit" 0.390593055513108 0.421139194320037
"meanfit" 0.365662971299934 0.390444165418933
"meanfit" 0.340293936143966 0.359953660801325
"meanfit" 0.314573979898279 0.329696230394529
"meanfit" 0.288419329118347 0.299329041218988
"meanfit" 0.261972659035849 0.268247571667283
"meanfit" 0.235434294428398 0.236046521020748
"meanfit" 0.208839903233292 0.202842212218567
"meanfit" 0.182116740042858 0.169332852768563
"meanfit" 0.15549202403699 0.136726439613568
"meanfit" 0.129279849213547 0.106475391512131
"meanfit" 0.1038383185896 0.0797980407986775
"meanfit" 0.0797668508987353 0.0573012890022698
"meanfit" 0.0577409191397188 0.0390004268196368
"meanfit" 0.0384893392925209 0.0246613345567502
"meanfit" 0.0227765255052972 0.0140891192831539
"meanfit" 0.0112524826259827 0.00704902184032079
"meanfit" 0.00427805517966886 0.00299091740872875
"meanfit" 0.00111468670759795 0.00102993719739185
"meanfit" 0.000164378966840028 0.000251256744171851
"meanfit" 6.62917197774852e-07 1.9664397618355e-06
"fst" 1.00093542673365 1.00086491571775
"fst" 1.00061423259486 1.00082123151714
"fst" 0.998940960395623 1.00068293379049
"fst" 0.994190234637631 1.00035667970542
"fst" 0.985048703611184 0.999738913244389
"fst" 0.971141410692772 0.998705087989239
"fst" 0.953061324199103 0.997066055855549
"fst" 0.931826686817076 0.994575963742937
"fst" 0.908303070877258 0.990963222612548
"fst" 0.883152606355442 0.985888495030832
"fst" 0.857084294405918 0.978947909530124
"fst" 0.830447913975939 0.969914398201098
"fst" 0.803684446332207 0.959073633386775
"fst" 0.777149741270806 0.947231504082457
"fst" 0.750682427826325 0.935230194836307
"fst" 0.72436309743424 0.923410917935757
"fst" 0.698505319773398 0.911504754160463
"fst" 0.673073082640592 0.898805634639375
"fst" 0.648089543138296 0.884431747954567
"fst" 0.623653587415634 0.86777828972135
"fst" 0.599961644989498 0.848895787224873
"fst" 0.5769594030798 0.828284754007943
"fst" 0.554304904883364 0.806282399769924
"fst" 0.531797665178838 0.782768672765101
"fst" 0.509258426678492 0.757455260524855
"fst" 0.486773955970248 0.730244492361343
"fst" 0.464456294727342 0.701158564111302
"fst" 0.442077943056854 0.670129652994413
