"metric" "x" "y"
"me" 1.000969090168 1.00061484034749
"me" 1.00087915089544 1.00025818747623
"me" 1.00019892101488 0.999351600819636
"me" 0.997635175306325 0.997424649789363
"me" 0.991600592569181 0.993878231847071
"me" 0.981154253205374 0.988069022065873
"me" 0.966344761864052 0.979430951307992
"me" 0.947745829060743 0.967578675069869
"me" 0.926138743860903 0.952358107012446
"me" 0.902236894254773 0.933846254550466
"me" 0.876709104886405 0.912212196283412
"me" 0.850198871731591 0.887443928366461
"me" 0.823041296648409 0.859348574275885
"me" 0.7954040383135 0.828094268999145
"me" 0.767740542446966 0.794697597107963
"me" 0.740391249974494 0.760707271593834
"me" 0.713553003878759 0.727410061781048
"me" 0.687185866981568 0.695462222114115
"me" 0.66114107591159 0.665099899431114
"me" 0.635257261551136 0.636394303331985
"me" 0.609536375734494 0.609246475607333
"me" 0.584095867885875 0.583242183283576
"me" 0.558962732582789 0.557579584828014
"me" 0.533937286356786 0.531228420081476
"me" 0.509113526319833 0.503386757350466
"me" 0.484467324742271 0.47401009643535
"me" 0.459813489172766 0.443868753320627
"me" 0.434937436486284 0.413870059216872
"me" 0.409887590565972 0.384251589166991
"me" 0.384815281708753 0.354493228844329
"me" 0.359478187000064 0.324019403949595
"me" 0.333646044043186 0.292976343741182
"me" 0.307237416608519 0.262354260534426
"me" 0.28039947513915 0.233343856291347
"me" 0.253543495353892 0.206549475991473
"me" 0.226605452467443 0.181754470004564
"me" 0.199549892150946 0.158284165799007
"me" 0.172701085781419 0.135531927623897
"me" 0.146367239281679 0.113314786438208
"me" 0.120691735306643 0.0919137922139284
"me" 0.0958271176996115 0.0718246959060659
"me" 0.0724655221600601 0.0535128311488544
"me" 0.0516408798909676 0.0374343854323137
"me" 0.0338326146013374 0.0241478444211567
"me" 0.019535695498177 0.0141452925081753
"me" 0.0092714614985389 0.0074584122061032
"me" 0.0032582190986145 0.00351247044941922
"me" 0.000725382760965242 0.00142800350536184
"me" 8.17537590402874e-05 0.000428486576409823
"me" 2.48828152538813e-07 4.08791695469026e-06
"meanfit" 1.0009505957189 0.993823642491731
"meanfit" 1.00077719866953 0.986516259152104
"meanfit" 0.999726636794605 0.976466251028885
"meanfit" 0.996234664192125 0.964746436014848
"meanfit" 0.988835629106936 0.952138032625005
"meanfit" 0.977058681505961 0.938408683653467
"meanfit" 0.961230334628319 0.922720788421649
"meanfit" 0.942030264676255 0.904566110148684
"meanfit" 0.92024421697152 0.884201875880886
"meanfit" 0.896537690879768 0.862330298248896
"meanfit" 0.871421763586923 0.839569376251083
"meanfit" 0.845260843236418 0.816290538845283
"meanfit" 0.818507965938293 0.79278576542125
"meanfit" 0.791455333474655 0.7693610141463
"meanfit" 0.764217519796854 0.746210629299658
"meanfit" 0.737111874083068 0.723265593263669
"meanfit" 0.710385509790543 0.70019148873863
"meanfit" 0.684068506847249 0.676525715759954
"meanfit" 0.658127159286486 0.651857479074981
"meanfit" 0.632575772356688 0.625968480178113
"meanfit" 0.607514185163398 0.598874173182772
"meanfit" 0.583185850290612 0.570736495886565
"meanfit" 0.559257148904953 0.541687223869354
"meanfit" 0.535388338747696 0.511662299524016
"meanfit" 0.511466887232335 0.480387738632398
"meanfit" 0.487455601155214 0.447568092347231
"meanfit" 0.463327038044544 0.413130985953067
"meanfit" 0.439228252791296 0.377390867520459
"meanfit" 0.415068730002929 0.34109570449593
"meanfit" 0.390593055513108 0.305230098527144
"meanfit" 0.365662971299934 0.270552197513252
"meanfit" 0.340293936143966 0.237262529098086
"meanfit" 0.314573979898279 0.205151298787142
"meanfit" 0.288419329118347 0.174028999597142
"meanfit" 0.261972659035849 0.144072356341203
"meanfit" 0.235434294428398 0.115950638621115
"meanfit" 0.208839903233292 0.0906264294338516
"meanfit" 0.182116740042858 0.0688462890673408
"meanfit" 0.15549202403699 0.0507520720200284
"meanfit" 0.129279849213547 0.0360043984295884
"meanfit" 0.1038383185896 0.0241934206923321
"meanfit" 0.0797668508987353 0.0150705319467154
"meanfit" 0.0577409191397188 0.00848240097132589
"meanfit" 0.0384893392925209 0.00419185181631582
"meanfit" 0.0227765255052972 0.00176530041343833
"meanfit" 0.0112524826259827 0.000615744423499307
"meanfit" 0.00427805517966886 0.000173224557999975
"meanfit" 0.00111468670759795 3.80775606864625e-05
"meanfit" 0.000164378966840028 5.9021989723416e-06
"meanfit" 6.62917197774852e-07 3.14326526674492e-08
"fst" 1.00093542673365 1.00093988499874
"fst" 1.00061423259486 1.00084571374352
"fst" 0.998940960395623 1.00066809698849
"fst" 0.994190234637631 1.00045052518258
"fst" 0.985048703611184 1.00024559933011
"fst" 0.971141410692772 1.0000017912605
"fst" 0.953061324199103 0.999522356609221
"fst" 0.931826686817076 0.998438292072855
"fst" 0.908303070877258 0.996166227878845
"fst" 0.883152606355442 0.992046301704274
"fst" 0.857084294405918 0.985639841218102
"fst" 0.830447913975939 0.97680131374202
"fst" 0.803684446332207 0.965608998237647
"fst" 0.777149741270806 0.952376874089274
"fst" 0.750682427826325 0.937568109460435
"fst" 0.72436309743424 0.921673242014857
"fst" 0.698505319773398 0.905081018827996
"fst" 0.673073082640592 0.887940367056099
"fst" 0.648089543138296 0.870063515000245
"fst" 0.623653587415634 0.85092964034806
"fst" 0.599961644989498 0.829943739613462
"fst" 0.5769594030798 0.806670950146993
"fst" 0.554304904883364 0.780807695209806
"fst" 0.531797665178838 0.752433401305327
"fst" 0.509258426678492 0.722220669741031
"fst" 0.486773955970248 0.690621272919539
"fst" 0.464456294727342 0.657163055382117
